"llaveho","c_ingxtrab","ingxtrab","c_ingxrnta","ingxrnta","c_ingxinv","ingxinv","c_otrosing","otrosing","ing_total","tipo_ing","destiping"
"0000001011",1,20800,1,18000,0,0,1,86400,125200,1,"Con Ingreso Positivo"
"0000001021",1,0,0,0,0,0,1,315300,315300,1,"Con Ingreso Positivo"
"0000001031",1,310800,0,0,0,0,1,8000,318800,1,"Con Ingreso Positivo"
"0000001041",1,184800,0,0,0,0,1,36000,220800,1,"Con Ingreso Positivo"
"0000001051",1,204160,0,0,0,0,1,59200,263360,1,"Con Ingreso Positivo"
"0000002011",1,0,0,0,0,0,1,19600,19600,1,"Con Ingreso Positivo"
"0000002021",1,0,0,0,0,0,1,36000,36000,1,"Con Ingreso Positivo"
"0000002041",1,57200,0,0,0,0,0,0,57200,1,"Con Ingreso Positivo"
"0000002051",1,271200,1,14400,0,0,0,0,285600,1,"Con Ingreso Positivo"
"0000003011",1,180000,0,0,0,0,0,0,180000,1,"Con Ingreso Positivo"
"0000003021",1,0,0,0,0,0,1,93000,93000,1,"Con Ingreso Positivo"
"0000003041",1,1440,0,0,0,0,1,66000,67440,1,"Con Ingreso Positivo"
"0000004011",1,332800,0,0,0,0,1,9600,342400,1,"Con Ingreso Positivo"
"0000004021",1,166400,0,0,0,0,0,0,166400,1,"Con Ingreso Positivo"
"0000005021",1,382012,0,0,0,0,1,2000,384012,1,"Con Ingreso Positivo"
"0000005031",1,83200,0,0,0,0,1,9600,92800,1,"Con Ingreso Positivo"
"0000005041",1,0,0,0,0,0,1,219000,219000,1,"Con Ingreso Positivo"
"0000005051",1,524800,0,0,0,0,1,15600,540400,1,"Con Ingreso Positivo"
"0000006011",1,180000,0,0,0,0,0,0,180000,1,"Con Ingreso Positivo"
"0000006021",1,0,1,27600,0,0,1,30000,57600,1,"Con Ingreso Positivo"
"0000006041",1,156000,0,0,0,0,0,0,156000,1,"Con Ingreso Positivo"
"0000006051",1,140400,0,0,0,0,0,0,140400,1,"Con Ingreso Positivo"
"0000007011",1,78000,0,0,0,0,0,0,78000,1,"Con Ingreso Positivo"
"0000007021",1,52000,0,0,0,0,0,0,52000,1,"Con Ingreso Positivo"
"0000007031",1,216000,0,0,0,0,1,15000,231000,1,"Con Ingreso Positivo"
"0000007041",1,240000,0,0,0,0,0,0,240000,1,"Con Ingreso Positivo"
"0000007051",1,6000,0,0,0,0,1,42600,48600,1,"Con Ingreso Positivo"
"0000008011",1,505200,1,36000,0,0,1,162000,703200,1,"Con Ingreso Positivo"
"0000008021",1,360000,0,0,0,0,0,0,360000,1,"Con Ingreso Positivo"
"0000008031",1,0,0,0,0,0,1,62400,62400,1,"Con Ingreso Positivo"
"0000008041",1,150800,0,0,0,0,1,87900,238700,1,"Con Ingreso Positivo"
"0000008051",1,271600,0,0,0,0,1,18900,290500,1,"Con Ingreso Positivo"
"0000009021",1,98800,0,0,0,0,1,30000,128800,1,"Con Ingreso Positivo"
"0000009041",1,240000,0,0,0,0,1,6120,246120,1,"Con Ingreso Positivo"
"0000010011",1,144000,1,51600,0,0,0,0,195600,1,"Con Ingreso Positivo"
"0000010031",1,0,0,0,0,0,1,48000,48000,1,"Con Ingreso Positivo"
"0000010041",1,74620,0,0,0,0,1,48000,122620,1,"Con Ingreso Positivo"
"0000010051",1,6e+05,0,0,0,0,1,15000,615000,1,"Con Ingreso Positivo"
"0000011011",1,292000,0,0,0,0,1,93000,385000,1,"Con Ingreso Positivo"
"0000011021",1,144800,0,0,0,0,1,10400,155200,1,"Con Ingreso Positivo"
"0000011041",1,256620,0,0,0,0,1,33600,290220,1,"Con Ingreso Positivo"
